accelerometer_x,accelerometer_y,accelerometer_z,fall
4704,-321,56,1
4244,-523,320,1
3805,-631,604,1
3392,-633,808,1
3101,-701,887,1
2764,-611,869,1
2799,-663,922,1
2973,-738,853,1
3141,-674,628,1
3246,-440,326,1
3338,-180,-32,1
3436,96,-317,1
3570,336,-448,1
3722,515,-492,1
3875,648,-534,1
4015,681,-649,1
4112,659,-852,1
4185,608,-1063,1
4238,549,-1190,1
4313,417,-1272,1
4377,272,-1342,1
4435,134,-1349,1
4500,7,-1283,1
4569,-105,-1195,1
4646,-198,-1135,1
4742,-195,-1004,1
4872,-190,-864,1
4993,-179,-711,1
5100,-199,-587,1
5159,-216,-467,1
5233,-255,-359,1
5308,-289,-271,1
5316,-283,-196,1
5238,-231,-133,1
5126,-158,-129,1
4976,-65,-151,1
4818,2,-224,1
4608,82,-272,1
4376,171,-318,1
4185,245,-310,1
4022,283,-302,1
3842,298,-286,1
3654,309,-243,1
3568,316,-227,1
3531,397,-153,1
3488,522,-89,1
3476,577,-85,1
3461,621,-104,1
3445,584,-153,1
3448,661,-123,1
3490,796,-42,1
3464,865,3,1
3442,852,22,1
3413,784,6,1
3198,772,-26,1
3204,545,-71,1
3115,431,-73,1
3133,290,-52,1
3081,153,-95,1
2909,112,-80,1
2776,81,-58,1
2680,17,-34,1
2655,-102,-37,1
2644,-208,-78,1
2635,-279,-134,1
2599,-303,-193,1
2549,-277,-219,1
2569,-324,-268,1
2614,-422,-334,1
2628,-371,-341,1
2666,-193,-271,1
2699,107,-234,1
2795,364,-117,1
2921,502,-84,1
3039,609,-8,1
3145,666,23,1
3208,697,12,1
3289,669,8,1
3318,623,1,1
3265,713,-13,1
3261,851,47,1
3250,1044,33,1
3273,1166,8,1
3313,1217,21,1
3332,1216,-4,1
3344,1167,1,1
3343,1080,-26,1
3371,959,-130,1
3375,866,-185,1
3390,797,-178,1
3411,756,-198,1
3453,710,-237,1
3496,665,-291,1
3598,622,-345,1
3700,647,-372,1
3835,709,-304,1
3964,800,-228,1
4095,856,-194,1
4206,880,-151,1
4276,874,-143,1
4252,868,-169,1
4196,851,-133,1
4142,847,-134,1
4130,842,-144,1
4198,794,-124,1
4288,755,-54,1
4374,702,78,1
4450,605,204,1
4493,482,301,1
4538,337,336,1
4567,180,267,1
4565,48,93,1
4523,-12,-162,1
4438,54,-435,1
4351,229,-656,1
4279,477,-793,1
4243,741,-833,1
4235,1013,-758,1
4265,1281,-564,1
4353,1503,-329,1
4475,1653,-132,1
4565,1754,29,1
4619,1845,160,1
4632,1947,265,1
4658,2009,296,1
4679,2039,300,1
4682,1992,244,1
4670,1852,114,1
4646,1636,-13,1
4595,1413,-77,1
4559,1172,-105,1
4593,882,-49,1
4634,583,-75,1
4673,333,-161,1
4690,200,-281,1
4663,133,-401,1
4675,-61,-462,1
4604,-347,-617,1
4473,-535,-634,1
4420,-721,-595,1
4444,-923,-535,1
4431,-963,-434,1
4389,-867,-292,1
4263,-666,-144,1
4144,-450,-71,1
4059,-291,-67,1
3995,-172,-71,1
3938,-74,-35,1
3853,60,75,1
3704,232,230,1
