,accelerometer_x,accelerometer_y,accelerometer_z,fall
0,0.0,-264.0,20.0,0
1,0.0,-266.0,22.0,0
2,0.0,-266.0,21.0,0
3,0.0,-266.0,19.0,0
4,1.0,-265.0,19.0,0
5,4.0,-270.0,25.0,0
6,1.0,-266.0,17.0,0
7,1.0,-267.0,16.0,0
8,-2.0,-267.0,14.0,0
9,-1.0,-267.0,14.0,0
10,1.0,-268.0,16.0,0
11,-1.0,-268.0,15.0,0
12,0.0,-268.0,15.0,0
13,1.0,-266.0,16.0,0
14,3.0,-269.0,17.0,0
15,2.0,-268.0,25.0,0
16,9.0,-271.0,18.0,0
17,12.0,-272.0,20.0,0
18,11.0,-273.0,21.0,0
19,14.0,-276.0,19.0,0
20,15.0,-276.0,17.0,0
21,20.0,-279.0,19.0,0
22,21.0,-277.0,20.0,0
23,17.0,-275.0,17.0,0
24,21.0,-275.0,20.0,0
25,20.0,-272.0,22.0,0
26,21.0,-274.0,21.0,0
27,20.0,-269.0,22.0,0
28,21.0,-271.0,19.0,0
29,16.0,-270.0,21.0,0
30,18.0,-267.0,22.0,0
31,12.0,-263.0,25.0,0
32,17.0,-264.0,23.0,0
33,14.0,-261.0,24.0,0
34,15.0,-257.0,23.0,0
35,12.0,-258.0,21.0,0
36,15.0,-256.0,18.0,0
37,15.0,-259.0,33.0,0
38,15.0,-257.0,19.0,0
39,15.0,-256.0,18.0,0
40,14.0,-255.0,13.0,0
41,13.0,-259.0,19.0,0
42,14.0,-258.0,18.0,0
43,13.0,-263.0,23.0,0
44,9.0,-232.0,29.0,0
45,9.0,-272.0,15.0,0
46,10.0,-279.0,29.0,0
47,9.0,-273.0,30.0,0
48,13.0,-267.0,35.0,0
49,9.0,-264.0,34.0,0
50,11.0,-260.0,36.0,0
51,6.0,-250.0,37.0,0
52,4.0,-262.0,27.0,0
53,3.0,-269.0,34.0,0
54,3.0,-261.0,43.0,0
55,3.0,-258.0,40.0,0
56,0.0,-254.0,43.0,0
57,0.0,-255.0,39.0,0
58,1.0,-246.0,48.0,0
59,4.0,-240.0,56.0,0
60,0.0,-255.0,33.0,0
61,-1.0,-259.0,41.0,0
62,-2.0,-259.0,40.0,0
63,1.0,-256.0,41.0,0
64,1.0,-255.0,38.0,0
65,1.0,-257.0,37.0,0
66,5.0,-259.0,32.0,0
67,4.0,-258.0,30.0,0
68,5.0,-251.0,30.0,0
69,10.0,-253.0,9.0,0
70,6.0,-262.0,9.0,0
71,6.0,-256.0,9.0,0
72,5.0,-250.0,0.0,0
73,1.0,-244.0,-2.0,0
74,0.0,-239.0,-11.0,0
75,-4.0,-231.0,-12.0,0
76,-10.0,-227.0,-7.0,0
77,-14.0,-221.0,-4.0,0
78,-22.0,-218.0,0.0,0
79,-28.0,-210.0,6.0,0
80,-29.0,-213.0,13.0,0
81,-34.0,-219.0,25.0,0
82,-38.0,-222.0,29.0,0
83,-44.0,-226.0,33.0,0
84,-43.0,-237.0,43.0,0
85,-40.0,-253.0,47.0,0
86,-35.0,-256.0,50.0,0
87,-37.0,-264.0,50.0,0
88,-28.0,-265.0,60.0,0
89,-25.0,-288.0,38.0,0
90,-18.0,-305.0,41.0,0
91,-6.0,-318.0,46.0,0
92,-1.0,-312.0,55.0,0
93,-3.0,-312.0,41.0,0
94,-5.0,-339.0,35.0,0
95,1.0,-346.0,46.0,0
96,5.0,-343.0,54.0,0
97,12.0,-342.0,55.0,0
98,16.0,-332.0,60.0,0
99,20.0,-322.0,55.0,0
100,21.0,-317.0,54.0,0
101,17.0,-295.0,61.0,0
102,20.0,-301.0,53.0,0
103,21.0,-293.0,57.0,0
104,20.0,-286.0,61.0,0
105,19.0,-274.0,62.0,0
106,18.0,-260.0,62.0,0
107,21.0,-254.0,59.0,0
108,20.0,-250.0,60.0,0
109,19.0,-245.0,54.0,0
110,21.0,-238.0,50.0,0
111,20.0,-238.0,50.0,0
112,17.0,-232.0,46.0,0
113,15.0,-231.0,41.0,0
114,13.0,-231.0,44.0,0
115,5.0,-224.0,42.0,0
116,8.0,-225.0,41.0,0
117,5.0,-231.0,39.0,0
118,6.0,-232.0,40.0,0
119,6.0,-231.0,45.0,0
120,3.0,-233.0,44.0,0
121,-5.0,-227.0,46.0,0
122,6.0,-246.0,46.0,0
123,7.0,-245.0,46.0,0
124,3.0,-250.0,45.0,0
125,4.0,-254.0,48.0,0
126,3.0,-252.0,54.0,0
127,2.0,-255.0,50.0,0
128,6.0,-259.0,51.0,0
129,8.0,-265.0,53.0,0
130,8.0,-263.0,54.0,0
131,6.0,-261.0,55.0,0
132,4.0,-259.0,58.0,0
133,2.0,-255.0,62.0,0
134,4.0,-256.0,61.0,0
135,1.0,-254.0,60.0,0
136,0.0,-248.0,61.0,0
137,0.0,-241.0,61.0,0
138,-3.0,-239.0,61.0,0
139,-1.0,-239.0,63.0,0
140,-4.0,-235.0,62.0,0
141,-2.0,-237.0,64.0,0
142,-8.0,-234.0,59.0,0
143,-8.0,-237.0,64.0,0
144,-6.0,-236.0,61.0,0
145,-7.0,-241.0,63.0,0
146,-1.0,-247.0,64.0,0
147,-5.0,-248.0,63.0,0
148,-1.0,-251.0,61.0,0
149,0.0,-252.0,63.0,0
150,0.0,-254.0,64.0,0
151,1.0,-254.0,62.0,0
152,0.0,-254.0,63.0,0
153,2.0,-255.0,65.0,0
154,0.0,-257.0,61.0,0
155,-21.0,-247.0,61.0,0
156,2.0,-255.0,51.0,0
157,5.0,-266.0,63.0,0
158,1.0,-260.0,60.0,0
159,-4.0,-257.0,59.0,0
160,-6.0,-261.0,59.0,0
161,-7.0,-263.0,59.0,0
162,-12.0,-262.0,62.0,0
163,-11.0,-260.0,64.0,0
164,-14.0,-259.0,65.0,0
165,-11.0,-260.0,64.0,0
166,-21.0,-272.0,73.0,0
167,-13.0,-262.0,74.0,0
168,-16.0,-261.0,76.0,0
169,-21.0,-261.0,77.0,0
170,-23.0,-263.0,78.0,0
171,-29.0,-265.0,64.0,0
172,-40.0,-268.0,45.0,0
173,-48.0,-270.0,11.0,0
174,-41.0,-280.0,-16.0,0
175,-27.0,-294.0,-39.0,0
176,-21.0,-323.0,-39.0,0
177,-28.0,-351.0,-6.0,0
178,-35.0,-372.0,21.0,0
179,-48.0,-375.0,45.0,0
180,-32.0,-388.0,56.0,0
181,-30.0,-389.0,65.0,0
182,-31.0,-389.0,65.0,0
183,-32.0,-385.0,62.0,0
184,-33.0,-385.0,59.0,0
185,-23.0,-385.0,60.0,0
186,-21.0,-371.0,48.0,0
187,-24.0,-380.0,49.0,0
188,-26.0,-368.0,34.0,0
189,-25.0,-356.0,17.0,0
190,-28.0,-346.0,5.0,0
191,-33.0,-337.0,-9.0,0
192,-42.0,-320.0,-22.0,0
193,-46.0,-311.0,-28.0,0
194,-48.0,-303.0,-25.0,0
195,-50.0,-303.0,-21.0,0
196,-51.0,-305.0,-14.0,0
197,-44.0,-307.0,-9.0,0
198,-50.0,-309.0,-14.0,0
199,-34.0,-307.0,-17.0,0
200,-29.0,-297.0,-27.0,0
201,-16.0,-290.0,-41.0,0
202,-12.0,-277.0,-53.0,0
203,-2.0,-271.0,-56.0,0
204,-9.0,-269.0,-78.0,0
205,13.0,-252.0,-59.0,0
206,17.0,-232.0,-60.0,0
207,27.0,-221.0,-65.0,0
208,32.0,-208.0,-57.0,0
209,36.0,-214.0,-67.0,0
210,27.0,-195.0,-49.0,0
211,51.0,-182.0,-33.0,0
212,52.0,-175.0,-26.0,0
213,51.0,-188.0,-28.0,0
214,51.0,-191.0,-16.0,0
215,47.0,-200.0,-8.0,0
216,52.0,-205.0,-11.0,0
217,39.0,-214.0,-13.0,0
218,33.0,-230.0,15.0,0
219,29.0,-235.0,1.0,0
220,17.0,-238.0,-5.0,0
221,19.0,-246.0,-10.0,0
222,12.0,-251.0,-4.0,0
223,15.0,-261.0,-8.0,0
224,-4.0,-263.0,-6.0,0
225,3.0,-255.0,-4.0,0
226,-12.0,-268.0,2.0,0
227,-13.0,-265.0,-7.0,0
228,-20.0,-269.0,-13.0,0
229,-17.0,-277.0,-15.0,0
230,-28.0,-276.0,-2.0,0
231,-25.0,-264.0,-3.0,0
232,-19.0,-261.0,6.0,0
233,-21.0,-255.0,0.0,0
234,-20.0,-254.0,1.0,0
235,-23.0,-249.0,0.0,0
236,-19.0,-249.0,3.0,0
237,-17.0,-244.0,0.0,0
238,-11.0,-243.0,2.0,0
239,-17.0,-226.0,-6.0,0
240,-9.0,-239.0,0.0,0
241,-8.0,-233.0,0.0,0
242,-9.0,-226.0,2.0,0
243,6.0,-231.0,5.0,0
244,20.0,-227.0,15.0,0
245,9.0,-228.0,3.0,0
246,11.0,-235.0,8.0,0
247,18.0,-245.0,15.0,0
248,27.0,-240.0,25.0,0
249,31.0,-247.0,19.0,0
250,30.0,-254.0,32.0,0
251,31.0,-255.0,22.0,0
252,25.0,-260.0,29.0,0
253,37.0,-259.0,23.0,0
254,36.0,-265.0,16.0,0
255,32.0,-277.0,26.0,0
256,40.0,-281.0,30.0,0
257,38.0,-274.0,11.0,0
258,36.0,-280.0,33.0,0
259,37.0,-263.0,23.0,0
260,19.0,-276.0,36.0,0
261,16.0,-265.0,23.0,0
262,11.0,-253.0,14.0,0
263,6.0,-248.0,1.0,0
264,12.0,-243.0,45.0,0
265,0.0,-236.0,36.0,0
266,0.0,-231.0,36.0,0
267,-14.0,-227.0,37.0,0
268,-15.0,-227.0,37.0,0
269,-33.0,-229.0,60.0,0
270,-7.0,-218.0,30.0,0
271,-21.0,-201.0,40.0,0
272,-9.0,-202.0,54.0,0
273,-14.0,-213.0,29.0,0
274,-20.0,-222.0,47.0,0
275,-25.0,-222.0,32.0,0
276,-13.0,-229.0,41.0,0
277,-12.0,-230.0,29.0,0
278,-11.0,-239.0,47.0,0
279,-12.0,-236.0,54.0,0
280,-7.0,-257.0,44.0,0
281,-4.0,-253.0,43.0,0
282,-4.0,-259.0,45.0,0
283,-2.0,-267.0,45.0,0
284,-3.0,-267.0,53.0,0
285,19.0,-289.0,46.0,0
286,-3.0,-277.0,59.0,0
287,-13.0,-281.0,48.0,0
288,-17.0,-277.0,41.0,0
289,-12.0,-270.0,43.0,0
290,-17.0,-275.0,42.0,0
291,-12.0,-270.0,45.0,0
292,-17.0,-263.0,39.0,0
293,-21.0,-264.0,39.0,0
294,-10.0,-258.0,49.0,0
295,3.0,-265.0,26.0,0
296,7.0,-258.0,38.0,0
297,22.0,-259.0,39.0,0
298,33.0,-260.0,42.0,0
299,49.0,-259.0,43.0,0
300,70.0,-263.0,44.0,0
301,81.0,-270.0,51.0,0
302,95.0,-280.0,68.0,0
303,102.0,-282.0,70.0,0
304,113.0,-280.0,82.0,0
305,122.0,-294.0,93.0,0
306,125.0,-296.0,93.0,0
307,135.0,-308.0,84.0,0
308,151.0,-320.0,47.0,0
309,144.0,-324.0,3.0,0
310,116.0,-331.0,-39.0,0
311,97.0,-372.0,-34.0,0
312,92.0,-415.0,22.0,0
313,90.0,-437.0,59.0,0
314,80.0,-421.0,67.0,0
315,66.0,-421.0,68.0,0
316,65.0,-412.0,69.0,0
317,69.0,-400.0,56.0,0
318,69.0,-385.0,35.0,0
319,72.0,-378.0,19.0,0
320,66.0,-366.0,8.0,0
321,51.0,-341.0,2.0,0
322,41.0,-321.0,6.0,0
323,45.0,-310.0,30.0,0
324,47.0,-293.0,9.0,0
325,52.0,-285.0,-3.0,0
326,50.0,-269.0,-9.0,0
327,42.0,-255.0,-16.0,0
328,34.0,-237.0,-31.0,0
329,18.0,-220.0,-37.0,0
330,8.0,-213.0,-46.0,0
331,-2.0,-200.0,-53.0,0
332,-16.0,-197.0,-53.0,0
333,-34.0,-191.0,-57.0,0
334,-43.0,-187.0,-58.0,0
335,-55.0,-188.0,-55.0,0
336,-63.0,-190.0,-55.0,0
337,-71.0,-192.0,-48.0,0
338,-76.0,-197.0,-58.0,0
339,-82.0,-205.0,-41.0,0
340,-84.0,-216.0,-33.0,0
341,-81.0,-230.0,-27.0,0
342,-77.0,-251.0,-22.0,0
343,-70.0,-264.0,-21.0,0
344,-61.0,-277.0,-16.0,0
345,-53.0,-292.0,-11.0,0
346,-37.0,-298.0,-3.0,0
347,-33.0,-297.0,-9.0,0
348,-17.0,-311.0,-17.0,0
349,-4.0,-309.0,-18.0,0
350,0.0,-302.0,-17.0,0
351,9.0,-295.0,-17.0,0
352,15.0,-289.0,-16.0,0
353,23.0,-285.0,-15.0,0
354,21.0,-275.0,-12.0,0
355,23.0,-267.0,-5.0,0
356,29.0,-263.0,-7.0,0
357,27.0,-257.0,-5.0,0
358,28.0,-253.0,0.0,0
359,41.0,-247.0,-24.0,0
360,30.0,-245.0,-4.0,0
361,31.0,-247.0,-3.0,0
362,18.0,-233.0,0.0,0
363,28.0,-236.0,-3.0,0
364,31.0,-237.0,0.0,0
365,25.0,-234.0,1.0,0
366,23.0,-227.0,2.0,0
367,18.0,-227.0,1.0,0
368,21.0,-222.0,7.0,0
369,19.0,-220.0,7.0,0
370,21.0,-222.0,9.0,0
371,18.0,-218.0,9.0,0
372,19.0,-218.0,8.0,0
373,13.0,-224.0,13.0,0
374,7.0,-216.0,12.0,0
375,3.0,-212.0,14.0,0
376,0.0,-218.0,13.0,0
377,-4.0,-221.0,11.0,0
378,-5.0,-223.0,11.0,0
379,0.0,-231.0,14.0,0
380,-3.0,-238.0,15.0,0
381,-2.0,-238.0,12.0,0
382,-6.0,-241.0,16.0,0
383,-8.0,-238.0,16.0,0
384,-6.0,-245.0,17.0,0
385,-6.0,-246.0,19.0,0
386,-6.0,-247.0,25.0,0
387,0.0,-244.0,23.0,0
388,-3.0,-246.0,32.0,0
389,-6.0,-243.0,28.0,0
390,-5.0,-243.0,39.0,0
391,-3.0,-242.0,40.0,0
392,0.0,-249.0,40.0,0
393,-1.0,-248.0,42.0,0
394,-9.0,-244.0,41.0,0
395,-11.0,-244.0,43.0,0
396,-12.0,-243.0,43.0,0
397,-15.0,-242.0,44.0,0
398,-19.0,-239.0,43.0,0
399,-26.0,-239.0,38.0,0
400,-32.0,-239.0,45.0,0
401,-22.0,-238.0,50.0,0
402,-22.0,-235.0,44.0,0
403,-28.0,-231.0,38.0,0
404,-30.0,-234.0,36.0,0
405,-23.0,-235.0,36.0,0
406,-27.0,-240.0,33.0,0
407,-16.0,-241.0,37.0,0
408,-8.0,-244.0,45.0,0
409,-13.0,-247.0,40.0,0
410,-3.0,-250.0,48.0,0
411,-7.0,-257.0,48.0,0
412,0.0,-260.0,52.0,0
413,8.0,-262.0,57.0,0
414,18.0,-267.0,48.0,0
415,19.0,-267.0,46.0,0
416,22.0,-270.0,44.0,0
417,25.0,-274.0,45.0,0
418,27.0,-275.0,41.0,0
419,22.0,-277.0,42.0,0
420,18.0,-278.0,54.0,0
421,5.0,-280.0,50.0,0
422,-6.0,-284.0,55.0,0
423,-18.0,-286.0,61.0,0
424,-23.0,-290.0,63.0,0
425,-33.0,-294.0,69.0,0
426,-44.0,-294.0,72.0,0
427,-48.0,-299.0,77.0,0
428,-51.0,-298.0,83.0,0
429,-69.0,-310.0,74.0,0
430,-45.0,-307.0,103.0,0
431,-44.0,-297.0,110.0,0
432,-52.0,-294.0,109.0,0
433,-63.0,-300.0,113.0,0
434,-81.0,-305.0,83.0,0
435,-80.0,-320.0,42.0,0
436,-46.0,-332.0,2.0,0
437,-19.0,-362.0,0.0,0
438,-17.0,-392.0,43.0,0
439,-22.0,-412.0,63.0,0
440,-10.0,-419.0,71.0,0
441,-1.0,-415.0,68.0,0
442,1.0,-406.0,61.0,0
443,-11.0,-392.0,59.0,0
444,-17.0,-373.0,46.0,0
445,-20.0,-359.0,23.0,0
446,-17.0,-347.0,4.0,0
447,-19.0,-344.0,-10.0,0
448,-21.0,-335.0,-28.0,0
449,-26.0,-324.0,-42.0,0
450,-32.0,-321.0,-40.0,0
451,-34.0,-308.0,-47.0,0
452,-33.0,-297.0,-53.0,0
453,-31.0,-276.0,-53.0,0
454,-28.0,-260.0,-59.0,0
455,-23.0,-247.0,-63.0,0
456,-15.0,-235.0,-62.0,0
457,-3.0,-221.0,-63.0,0
458,9.0,-211.0,-61.0,0
459,22.0,-197.0,-56.0,0
460,32.0,-194.0,-59.0,0
461,42.0,-192.0,-51.0,0
462,54.0,-192.0,-48.0,0
463,63.0,-199.0,-44.0,0
